experiment,grid,full_run,graph,n,edges,reps,angle_seed,graph_seed,ordering,total_span,max_cutwidth,cut_profile,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,mean_bond,max_entropy,mean_entropy,exact_max_entropy,exact_max_bond,exact_entropy_profile,swap_count,routing_distance,discarded_weight,max_discarded_single,norm_factor,infidelity,phase_aligned_error,storage_complex,storage_bytes,runtime_s,svd_time_s,n_svd,status,resource_cap_binding,mps_revision,mps_sha256,mps_version
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,4,1e-14,4,4,3.7333333333333334,1.2041879377769313,0.8301734711991814,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,2.22518828895731e-05,1.2474173221363051e-05,0.9999888740737981,2.2251728615807487e-05,0.004717186916417363,424,6784,0.014484862000244902,0.002126791991031496,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8,8,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.015060784000525018,0.002619889004563447,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,16,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014275094999902649,0.0022870450011396315,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,32,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014164061998599209,0.0023230919941852335,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64,64,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014074085998800001,0.002311845000804169,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,natural,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1,untruncated,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913163,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.01593750499887392,0.002478382995832362,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,4,1e-14,4,4,3.7333333333333334,1.2041879377769313,0.8301734711991814,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,2.22518828895731e-05,1.2474173221363051e-05,0.9999888740737981,2.2251728615807487e-05,0.004717186916417363,424,6784,0.013680914000360644,0.002103684995745425,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8,8,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014145099999950617,0.0021571099969150964,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,16,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014395823998711421,0.002313677003257908,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,32,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014382157000000007,0.0023091199927876005,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
