experiment,grid,full_run,graph_family,n,edges,reps,graph_seed,ordering,ordering_role,total_span,max_cutwidth,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,max_entropy,mean_entropy,swap_count,routing_distance,discarded_weight,norm_factor,infidelity,trace_distance_bound,phase_aligned_error,E_unsorted_1,E_sorted_1,topK25_mass,topK25_mass_rel,topK25_exact_mass,topK25_shape,topK100_mass,topK100_mass_rel,topK100_exact_mass,topK100_shape,topK400_mass,topK400_mass_rel,topK400_exact_mass,topK400_shape,topK1000_mass,topK1000_mass_rel,topK1000_exact_mass,topK1000_shape,storage_complex,storage_bytes,statevector_complex,runtime_s,svd_time_s,qiskit_time_s,n_svd,status,quic_params_version,quic_fingerprint,quic_source_kind,mps_revision,mps_sha256,mps_version
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,4,4,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.0032589379998171353,0.0004349170012574177,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,8,8,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.002086843000142835,0.000293705998956284,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,16,16,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.001994366999497288,0.0002679699991858797,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,32,32,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.0019344129996170523,0.00023704799968982115,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,64,64,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.002097774000503705,0.00025398800062248483,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,1,-1,natural,natural = graph_informed,7,1,-1,untruncated,1e-14,2,2,0.2662894810612577,0.13645051535122457,0,0,0.0,1.0,0.0,0.0,7.881486286417115e-16,8.601328941187393e-16,8.437169720844774e-16,2.220446049250313e-16,2.6572094045523096e-16,0.8356308108221591,6.019490461639521e-16,2.220446049250313e-16,2.2646974344633017e-16,0.9804603544210418,7.466900361907669e-16,,,,,,,,,56,896,256,0.0018804430001182482,0.00024112300070555648,0.005053790000602021,7,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,4,4,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.004941130999213783,0.000679008998304198,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,8,8,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.00424885299980815,0.0005970379997961572,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,16,16,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.005244123000011314,0.0006468870005846838,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,32,32,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.005549575999793888,0.000775718001932546,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
