experiment,n,chi_max,depth,max_bond_final,storage_complex,storage_bytes,statevector_complex,statevector_bytes,ratio_statevector_to_mps,discarded_weight,runtime_s,svd_time_s,n_svd,status,mps_revision,mps_sha256
scaling_appendix,12,16,4,16,2728,43648,4096,65536,1.501466275659824,1.1819853979933591e-31,0.025380994000443025,0.0035307299995110952,44,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,12,32,4,16,2728,43648,4096,65536,1.501466275659824,1.1819853979933591e-31,0.02396842999951332,0.003268818000833562,44,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,16,16,4,16,4776,76416,65536,1048576,13.721943048576215,2.236457403466672e-31,0.03486793100000796,0.005140549995303445,60,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,16,32,4,16,4776,76416,65536,1048576,13.721943048576215,2.236457403466672e-31,0.03170612100075232,0.004974172003130661,60,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,20,16,4,16,6824,109184,1048576,16777216,153.66002344665884,3.81733853511163e-31,0.044546342999638,0.006897891997141414,76,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,20,32,4,16,6824,109184,1048576,16777216,153.66002344665884,3.81733853511163e-31,0.0370997019999777,0.006209796996699879,76,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,24,16,4,16,8872,141952,16777216,268435456,1891.029756537421,4.505002304160412e-31,0.047031778000018676,0.0076969579995420645,92,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,24,32,4,16,8872,141952,16777216,268435456,1891.029756537421,4.505002304160412e-31,0.046660370000608964,0.007751706994895358,92,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,32,16,4,16,12968,207488,4294967296,68719476736,331197.3547193091,8.857558627870301e-31,0.06623325500004285,0.011165448005158396,124,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
scaling_appendix,32,32,4,16,12968,207488,4294967296,68719476736,331197.3547193091,8.857558627870301e-31,0.062353538000024855,0.01097957900037727,124,complete,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca
